,Nodes in each layer,training accuracy,testing accuracy,training MSE,testing MSE
82,"(10, 25, 30)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
83,"(10, 25, 35)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
84,"(10, 30, 5)",0.6527196652719666,0.6439024390243903,0.3472803347280335,0.35609756097560974
85,"(10, 30, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
86,"(10, 30, 15)",0.49372384937238495,0.5024390243902439,0.5062761506276151,0.4975609756097561
87,"(10, 30, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
88,"(10, 30, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
89,"(10, 30, 30)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
90,"(10, 30, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
91,"(10, 35, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
92,"(10, 35, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
93,"(10, 35, 15)",0.7531380753138075,0.7121951219512195,0.24686192468619247,0.28780487804878047
94,"(10, 35, 20)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
95,"(10, 35, 25)",0.26359832635983266,0.25365853658536586,0.7364016736401674,0.7463414634146341
96,"(10, 35, 30)",0.6192468619246861,0.5951219512195122,0.3807531380753138,0.40487804878048783
97,"(10, 35, 35)",0.6694560669456067,0.6439024390243903,0.3305439330543933,0.35609756097560974
98,"(15, 5, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
99,"(15, 5, 10)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
100,"(15, 5, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
101,"(15, 5, 20)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
102,"(15, 5, 25)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
103,"(15, 5, 30)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
104,"(15, 5, 35)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
105,"(15, 10, 5)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
106,"(15, 10, 10)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
107,"(15, 10, 15)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
108,"(15, 10, 20)",0.8284518828451883,0.8,0.17154811715481172,0.2
109,"(15, 10, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
110,"(15, 10, 30)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
111,"(15, 10, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
112,"(15, 15, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
113,"(15, 15, 10)",0.27824267782426776,0.3170731707317073,0.7217573221757322,0.6829268292682927
114,"(15, 15, 15)",0.27615062761506276,0.3073170731707317,0.7238493723849372,0.6926829268292682
115,"(15, 15, 20)",0.3619246861924686,0.36585365853658536,0.6380753138075314,0.6341463414634146
116,"(15, 15, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
117,"(15, 15, 30)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
118,"(15, 15, 35)",0.4476987447698745,0.4195121951219512,0.5523012552301255,0.5804878048780487
119,"(15, 20, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
120,"(15, 20, 10)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
121,"(15, 20, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
122,"(15, 20, 20)",0.805439330543933,0.8048780487804879,0.19456066945606695,0.1951219512195122
123,"(15, 20, 25)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
124,"(15, 20, 30)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
125,"(15, 20, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
126,"(15, 25, 5)",0.28661087866108786,0.28780487804878047,0.7133891213389121,0.7121951219512195
127,"(15, 25, 10)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
128,"(15, 25, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
129,"(15, 25, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
130,"(15, 25, 25)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
131,"(15, 25, 30)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
132,"(15, 25, 35)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
133,"(15, 30, 5)",0.32217573221757323,0.32195121951219513,0.6778242677824268,0.6780487804878049
134,"(15, 30, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
135,"(15, 30, 15)",0.6589958158995816,0.6487804878048781,0.3410041841004184,0.35121951219512193
136,"(15, 30, 20)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
137,"(15, 30, 25)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
138,"(15, 30, 30)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
139,"(15, 30, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
140,"(15, 35, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
141,"(15, 35, 10)",0.5983263598326359,0.5902439024390244,0.401673640167364,0.4097560975609756
142,"(15, 35, 15)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
143,"(15, 35, 20)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
144,"(15, 35, 25)",0.6631799163179917,0.6682926829268293,0.3368200836820084,0.33170731707317075
145,"(15, 35, 30)",0.3493723849372385,0.36585365853658536,0.6506276150627615,0.6341463414634146
146,"(15, 35, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
147,"(20, 5, 5)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
148,"(20, 5, 10)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
149,"(20, 5, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
150,"(20, 5, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
151,"(20, 5, 25)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
152,"(20, 5, 30)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
153,"(20, 5, 35)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
154,"(20, 10, 5)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
155,"(20, 10, 10)",0.39330543933054396,0.37073170731707317,0.606694560669456,0.6292682926829268
156,"(20, 10, 15)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
157,"(20, 10, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
158,"(20, 10, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
159,"(20, 10, 30)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
160,"(20, 10, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
161,"(20, 15, 5)",0.9288702928870293,0.9317073170731708,0.07112970711297072,0.06829268292682927
162,"(20, 15, 10)",0.3389121338912134,0.36585365853658536,0.6610878661087866,0.6341463414634146
163,"(20, 15, 15)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
164,"(20, 15, 20)",0.6715481171548117,0.6536585365853659,0.3284518828451883,0.3463414634146341
165,"(20, 15, 25)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
166,"(20, 15, 30)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
167,"(20, 15, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
168,"(20, 20, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
169,"(20, 20, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
170,"(20, 20, 15)",0.3263598326359833,0.33658536585365856,0.6736401673640168,0.6634146341463415
171,"(20, 20, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
172,"(20, 20, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
173,"(20, 20, 30)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
174,"(20, 20, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
175,"(20, 25, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
176,"(20, 25, 10)",0.34518828451882844,0.35609756097560974,0.6548117154811716,0.6439024390243903
177,"(20, 25, 15)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
178,"(20, 25, 20)",0.8347280334728033,0.7902439024390244,0.16527196652719664,0.2097560975609756
179,"(20, 25, 25)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
180,"(20, 25, 30)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
181,"(20, 25, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
182,"(20, 30, 5)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
183,"(20, 30, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
184,"(20, 30, 15)",0.9142259414225942,0.9365853658536586,0.08577405857740586,0.06341463414634146
185,"(20, 30, 20)",0.7510460251046025,0.7024390243902439,0.2489539748953975,0.2975609756097561
186,"(20, 30, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
187,"(20, 30, 30)",0.891213389121339,0.8292682926829268,0.1087866108786611,0.17073170731707318
188,"(20, 30, 35)",0.7698744769874477,0.8,0.2301255230125523,0.2
189,"(20, 35, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
190,"(20, 35, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
191,"(20, 35, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
192,"(20, 35, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
193,"(20, 35, 25)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
194,"(20, 35, 30)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
195,"(20, 35, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
196,"(25, 5, 5)",0.41631799163179917,0.4292682926829268,0.5836820083682008,0.5707317073170731
197,"(25, 5, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
198,"(25, 5, 15)",0.34518828451882844,0.35609756097560974,0.6548117154811716,0.6439024390243903
199,"(25, 5, 20)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
200,"(25, 5, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
201,"(25, 5, 30)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
202,"(25, 5, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
203,"(25, 10, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
204,"(25, 10, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
205,"(25, 10, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
206,"(25, 10, 20)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
207,"(25, 10, 25)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
208,"(25, 10, 30)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
209,"(25, 10, 35)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
210,"(25, 15, 5)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
211,"(25, 15, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
212,"(25, 15, 15)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
213,"(25, 15, 20)",0.17573221757322174,0.2048780487804878,0.8242677824267782,0.7951219512195122
214,"(25, 15, 25)",0.7552301255230126,0.7170731707317073,0.24476987447698745,0.28292682926829266
215,"(25, 15, 30)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
216,"(25, 15, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
217,"(25, 20, 5)",0.606694560669456,0.5902439024390244,0.39330543933054396,0.4097560975609756
218,"(25, 20, 10)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
219,"(25, 20, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
220,"(25, 20, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
221,"(25, 20, 25)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
222,"(25, 20, 30)",0.9016736401673641,0.9073170731707317,0.09832635983263599,0.09268292682926829
223,"(25, 20, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
224,"(25, 25, 5)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
225,"(25, 25, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
226,"(25, 25, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
227,"(25, 25, 20)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
228,"(25, 25, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
229,"(25, 25, 30)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
230,"(25, 25, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
231,"(25, 30, 5)",0.34309623430962344,0.36097560975609755,0.6569037656903766,0.6390243902439025
232,"(25, 30, 10)",0.03347280334728033,0.04390243902439024,0.9665271966527197,0.9560975609756097
233,"(25, 30, 15)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
234,"(25, 30, 20)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
235,"(25, 30, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
236,"(25, 30, 30)",0.3493723849372385,0.37073170731707317,0.6506276150627615,0.6292682926829268
237,"(25, 30, 35)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
238,"(25, 35, 5)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
239,"(25, 35, 10)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
240,"(25, 35, 15)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
241,"(25, 35, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
242,"(25, 35, 25)",0.9016736401673641,0.9073170731707317,0.09832635983263599,0.09268292682926829
243,"(25, 35, 30)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
244,"(25, 35, 35)",0.24686192468619247,0.28292682926829266,0.7531380753138075,0.7170731707317073
245,"(30, 5, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
246,"(30, 5, 10)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
247,"(30, 5, 15)",0.5146443514644351,0.47804878048780486,0.48535564853556484,0.5219512195121951
248,"(30, 5, 20)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
249,"(30, 5, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
250,"(30, 5, 30)",0.6715481171548117,0.6731707317073171,0.3284518828451883,0.32682926829268294
251,"(30, 5, 35)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
252,"(30, 10, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
253,"(30, 10, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
254,"(30, 10, 15)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
255,"(30, 10, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
256,"(30, 10, 25)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
257,"(30, 10, 30)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
258,"(30, 10, 35)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
259,"(30, 15, 5)",0.6317991631799164,0.6146341463414634,0.3682008368200837,0.3853658536585366
260,"(30, 15, 10)",0.6569037656903766,0.6390243902439025,0.34309623430962344,0.36097560975609755
261,"(30, 15, 15)",0.12343096234309624,0.16097560975609757,0.8765690376569037,0.8390243902439024
262,"(30, 15, 20)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
263,"(30, 15, 25)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
264,"(30, 15, 30)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
265,"(30, 15, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
266,"(30, 20, 5)",0.4372384937238494,0.45365853658536587,0.5627615062761506,0.5463414634146342
267,"(30, 20, 10)",0.6694560669456067,0.6487804878048781,0.3305439330543933,0.35121951219512193
268,"(30, 20, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
269,"(30, 20, 20)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
270,"(30, 20, 25)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
271,"(30, 20, 30)",0.6631799163179917,0.6487804878048781,0.3368200836820084,0.35121951219512193
272,"(30, 20, 35)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
273,"(30, 25, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
274,"(30, 25, 10)",0.7301255230125523,0.7317073170731707,0.2698744769874477,0.2682926829268293
275,"(30, 25, 15)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
276,"(30, 25, 20)",0.8744769874476988,0.8195121951219512,0.12552301255230125,0.18048780487804877
277,"(30, 25, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
278,"(30, 25, 30)",0.608786610878661,0.5951219512195122,0.3912133891213389,0.40487804878048783
